DAY	FROM	TO	TIME	SPEED	NOTES	MODULE	MODULE SUBTOTAL	DAY TOTAL																	
2026-07-05	22:27	22:34	00:07	54	019 Tempo Builder (random tempo all the time, this is not about going faster and faster; NEXT more complex beats)	TECHNIQUE	00:19	00:53																	
	22:34	22:46	00:12	66	Page 3 The Slap Bass Program																				
	22:46	23:03	00:17	80%	le freak	REPERTOIRE	00:34																		
	23:03	23:20	00:17	50%	love me jeje																				
2026-07-06	21:10	21:20	00:10	66	Page 2 The Slap Bass Program	TECHNIQUE	00:22	01:06																	
	21:20	21:24	00:04	66	Page 2 The Slap Bass Program																				
	21:24	21:32	00:08	66/1	041 Skips																				
	21:32	21:52	00:20	70%	love me jeje	REPERTOIRE	00:44																		
	21:52	22:16	00:24	90%	It's my thing																				
2026-07-09	22:16	22:25	00:09	54	019 Tempo Builder (random tempo all the time, this is not about going faster and faster; C - F)	TECHNIQUE	01:07	01:07																	
	22:25	23:23	00:58	80%	le freak																				
	22:31																							

